Category,Question,Answer
Possessed Noun Recognition,nopitzouh,my pig
Possessed Noun Recognition,tocha:n,our home
Possessed Noun Recognition,i:nchichi,their dog
Possessed Noun Recognition,i:mmi:l,their field(s)
Possessed Noun Recognition,amoxoc,y'all's pot(s)
Possessed Noun Recognition,moma:,your hand(s)/arm(s)
Possessed Noun Recognition,i:cone:uh,her child/its offspring
Possessed Noun Recognition,nona:n,my mother
Possessed Noun Recognition,i:nco:l,their grandfather
Possessed Noun Recognition,mometl,your metate(s)
Possessed Noun Recognition,tocax,our plate(s)/bowl(s)
Possessed Noun Recognition,i:ma:,his/her hand(s)/arm(s)
Possessed Noun Recognition,nonacaz,my ears
Possessed Noun Recognition,amocha:n,y'all's home
Possessed Noun Recognition,nocxi,my foot/feet
Possessed Noun Recognition,i:tzontecon,his/her/its skull
Possessed Noun Recognition,mopitzouh,your pig
Possessed Noun Recognition,amomi:l,y'all's field(s)
Possessed Noun Recognition,i:cha:n in Xuan,Juan's home
Possessed Noun Recognition,i:xoc in Maria,Maria's pot
Possessed Noun Recognition,tocone:uh,our child
Possessed Noun Recognition,mocax,your bowl(s)
