Category,Question,Answer
Possessed Noun Production,your ear,monacaz
Possessed Noun Production,their pot,i:nxoc/i:nco:n
Possessed Noun Production,our book,ta:mox
Possessed Noun Production,his foot,i:cxi
Possessed Noun Production,y'all's field,amomi:l
Possessed Noun Production,my child,nocone:uh/nopil
Possessed Noun Production,their dog,i:nchichi
Possessed Noun Production,your paper,ma:mauh
Possessed Noun Production,his plate,i:cax
Possessed Noun Production,my ear,nonacaz
Possessed Noun Production,our house,tocal/tocha:n
Possessed Noun Production,his hand,i:ma:
Possessed Noun Production,their pig,i:mpitzouh/i:ncoyame
Possessed Noun Production,your hand,moma:
Possessed Noun Production,our paper,ta:mauh
Possessed Noun Production,y'all's pot,amoxoc/amoco:n
Possessed Noun Production,my pig,nopitzouh/nocoyoame
Possessed Noun Production,our child,tocone:uh/topil
Possessed Noun Production,your foot,mocxi
Possessed Noun Production,his house,i:cal/i:cha:n
